source_page,company,stand
39,Montana Aerospace (Asco and UAC),"1058, 1157"
40,Moog Inc.,C218-219
40,Morocco Now,41330
40,Moya Aero,41124
40,MSM aerospace fabricators,1120Q
40,MTD Ltd,1320
40,MThree Corporate Consulting LTD.,0765
40,MTU Aero Engines AG,1215
40,Mubea Aviation Holding GmbH,C124
40,Municipality of Chihuahua,3320
40,Municipality of Rzeszow,1317
40,Murphy and Nolan,2538
40,MyDefence,3008
40,Myren Inc.,41031
40,Nabhdrishti Aerospace,2001
40,Nammo AS,2211
40,NAmTrans/North Country Chamber of Commerce,2527
40,"NanJing QuanXin Cable Technology Co.,LTD","0130, 41140, 41340. 41546, 41544"
40,Nasmyth Group Ltd,1300
40,Natilus,2338
40,National Airlines,0750
41,National Armaments Director Group,3704
41,National Careers Service,PI-17
41,National Institute for Aviation Research (NIAR),4605
41,National Precision,1351
41,National Wealth Fund,3704
41,NAVALIS,2121
41,NCC and West of England Mayoral Combined Authority,1120F
41,NCM SpA,"1145,1147"
41,NE-XT Technologies,2127
41,NEAT S.r.l.,1435
41,Needles and Pins Aerospace,4238G
41,Nema Ltd,4215
41,Newcastle University - Pioneers of Tomorrow (Friday),
41,NI (formerly National Instruments),1015
41,Nidec Aerospace,2120
41,NIDV,1353
41,Nikon SLM Solutions AG,4005
41,NIPPI Corporation,"2006, 2117, 2504"
41,"NLign Analytics, Inc.",41314
41,NLR – Royal Netherlands Aerospace Centre,1353
42,Nominal,0700
42,Norfolk and Suffolk Unlimited,3010
42,NOROO Paint,41035
42,Norsk Titanium AS,2211
42,North Dakota Trade Office,2028
42,North West Aerospace Alliance,1310
42,Northrop Grumman,C604
42,Northrop Grumman LITEF GmbH,2313
42,Norwegian Defence and Security Industries Association (FSi),2211
42,Norwegian Special Mission,2211
42,Nova Systems,3311
42,Novaria Group,1251
42,NOVINTEC,1360
42,Novomorphic Ltd,1221
42,NQ Aero Group,1317
42,NRW.Global Business - Rheinisches Revier,4150
42,NRW.Global Business GmbH,4150
42,nTop,3938
42,Nu-Tech Precision Metals Inc.,4720
42,NWI Aerostructures,4605
43,Nycote Labs Corp.,2338
43,Oakridge Supply Chain Solutions,1351
43,Ocean Software,3311
43,OCSmaterials,4931
43,Odysight.AI,4616
43,Oerlikon,3540
43,OFFICINA MALNATI SRL,1437
43,OGMA – Industria Aeronautica de Portugal,1451
43,OHB SE,4400
43,Ohio International Trade,41314
43,Okazaki Manufacturing Company UK (LTD).,0050
43,Oklahoma Department of Commerce,"2322, 2520"
43,Oldham Engineering Ltd,4725
43,Olsen Actuators & Drives,4804
43,OLSTRAL HPT SRL,0150
43,OMA S.p.A.,"1145,1147"
43,Omnetics Connector Corporation,2029
43,OMS Industries S.r.l.,1435
43,Ondrives Ltd,2311
43,Ontic Engineering Manufacturing ltd,4120
44,Open Cosmos,4614
44,OPIAR,0150
44,OPTERA SOLUTIONS PTY LTD,3311
44,Oracle special metals,1320
44,Orbis UK,0850
44,OSINT COMBINE PTY LTD,3311
44,OVES Enterprise,0150
44,Oxley Group Ltd,1310
44,Ozark Integrated Circuits,3125
44,P&K Fabrications Ltd,3922
44,PAC Aviation International,3545
44,Pacific Northwest Aerospace Alliance,1351
44,Packstat Ltd,1221
44,PAL Aerospace,4621
44,Pall Corporation,3327
44,Pankl Aerospace Systems Europe GmbH,"3722,3726, 3728"
44,Paramount Panels UK,1042
44,PARIANI SRL,1437
44,PARIS AIR SHOW,1360
44,Parker Aerospace,C107-108
45,PARPAS SpA,2026
45,Patriot Industrial Partners,2529
45,Patriot Taxiway Industries,2523
45,PBS GROUP,3740
45,PELICO,1360
45,PennAero,1355
45,Performance Review Institute | PRI,3016
45,Permag,"41320, 41321"
45,PHINIA,4810
45,Phixos,4716
45,PhotonFirst Technologies,1353
45,Pietro Rosa TBM Srl,1347
45,Piran Advanced Composites,"1120, C413"
45,Plymouth Tube / Plymouth Engineered Shapes,2011
45,PMI Group,1355
45,PMP SRL,1437
45,PMW Dynamics Limited,3000
45,Poggipolini Group,1341
45,Polar Technology,3840
45,Portal Space Systems,1351
46,Porvair Filtration Group,4032
46,PPG,1140
46,Precise Components Ltd,0560
46,"Precision Alloy Services, Inc.",3025
46,Precision Castparts Corp. (PCC),C330-331
46,Precision Fluid Controls Inc.,4728
46,Precision Resource,0035
46,Precision Technologies International Limited,1320
46,Prima Electro SpA,1245
46,Primary Engineer,1310
46,Prince & Izant Company,4415
46,Privacy Seal,3311
46,Pro-Roll Ltd,41540
46,PROBAJA TRADE and INVESTMENT,3320
46,Process Automation and Calibrations Limited,1321
46,PROCOMER - COSTA RICA AEROSPACE CLUSTER,41534
46,PRODENSA,3320
46,Progetti Speciali Italiani S.r.l.,1435
46,Progressive Alloy Steels Unlimited,"1231, C119-120"
46,Progressive Technology Group,1310
47,Proponent,1426
47,Prospect Group,41314
47,Prowork Group,3320
47,Proxima Powder Metallurgy Ltd.,0085
47,PRP OPTOELECTRONICS LTD,4238B
47,PSD AERO,4340
47,PTI TECHNOLOGIES INC,3331
47,Pursuit Aerospace,4531
47,Q-CTRL,"0720,3311"
47,Qarbon Aerospace,2123
47,Qfp Srl,"1145,1147"
47,QinetiQ - Pioneers of Tomorrow (Friday),PINN-18
47,QinetiQ Ltd,C101-103
47,Quantum Systems GmbH,0170
47,Querétaro State Government,3320
47,"Radia, Inc.",41335
47,Radius Aerospace Inc,3131
47,RAF Cadets Bulldog,
47,Rafael Advanced Defense Systems Ltd,C315
47,"RAM Aviation, Space and Defense",3240
48,RAMPF Advanced Polymers GmbH & Co. KG,4845
48,RAMPINI CARLO SPA,"1145,1147"
48,Rapid Imaging Solutions,2517
48,RBC Aerospace,3950
48,Re:Build Manufacturing - Composite Resources,2324
48,REACH Central Coast,2338
48,Regal Rexnord Aerospace Solutions,4130
48,REGIONE CAMPANIA,1447
48,REGIONE LAZIO - LAZIO INNOVA S.P.A,1435
48,Reno Machine Company,2127
48,RH Aero Systems,3960
48,Rift Dynamics,2211
48,Righton Blackburns,1117
48,RINA,1250
48,RIX Industries,2537
48,RLC,41131
48,Robin Radar Systems,1510
48,Rodriguez GmbH,4150
48,Rogue Space Systems Corporation,2039
48,Rolled Alloys,4320
49,Rolls-Royce Plc,C405-407
49,Rotary Precision Instruments UK Ltd,"1120, C413"
49,Rotor Clip,1037
49,Royal Aeronautical Society,4002
49,Royal Aeronautical Society - Pioneers of Tomorrow,"PI-11, PINN-04"
49,RSA Engineering,1355
49,RTA Ireland Limited,1321
49,RTX - Pratt & Whitney | Collins Aerospace | Raytheon,C301-305
49,RUAG AG,4517
49,Rübig GmbH and Co KG,1317
49,RYAN AEROSPACE,3311
49,S3 AeroDefense,3736
49,Saab AB,C403
49,SAE International,3016
49,Saeron Technology,41035
49,Safesky Systems,3311
49,Safran Aero Boosters,"1058, 1157"
49,Sagar Defence Engineering,4947
49,Salamandra UK,1120G
49,SAM Aerospace (NI) Ltd,1321
50,SANLAYAN,1530
50,Sansera Engineering Limited,41135
50,Sarasota Bradenton International Airport,3526F
50,SASMOS HET Technologies Limited,4240
50,SATRO,PINN-03
50,Sauter Bachmann AG,4517
50,SBG Systems,1360
50,Schunk Group,0340
50,Scintam Engineering Ltd,0665
50,ScioTeq,"1058, 1157,1152"
50,SDM Srl,1245
50,Se.Te.L servizi logistici S.r.l.,1435
50,SEA Wire & Cable,3340
50,"SeaCast, Inc",1351
50,SeAH Aerospace & Defense,41033
50,SeAH Group,41033
50,Seal Dynamics,4540
50,SECO/WARWICK S.A.,41514
50,Secondo Mona S.p.A,1443
50,SECURE & INNOVATE GROUP PTY LTD,3311
51,SEKISUI Aerospace,1351
51,SelectFlorida,"3501, 3521, 3526"
51,Sellectronics Ltd,3928
51,Senior PLC,4911
51,Sensata Technologies,1430
51,Sensolus,"1058, 1157"
51,SERMS srl,"1145,1147"
51,Service Centres Aero France,"1231, C119-120"
51,Service Centres Aero Germany,"1231, C119-120"
51,Service Steel Aerospace Corp.,C209-210
51,SERVIZI CONFINDUSTRIA VARESE SRL,1437
51,SEVEN PULSE S.R.L.,"1145,1147"
51,SEVILLA CONTROL,2121
51,SGS United Kingdom Limited,1317
51,"Shaanxi HST Metal Material Co.,Ltd",41530
51,"Shaanxi Standard Titanium Co., Ltd",41508
51,SHD Composite Materials Ltd,1310
51,"Shenzhen Hanhailong Technology Co.,Ltd",41525
51,Shield AI,3750
51,"ShinMaywa Industries, Ltd.","2006, 2117, 2504"
52,SICAMB - S.P.A.,1250
52,"Sichuan Forge Future Co.,Ltd.","0130, 41140, 41340. 41546, 41544"
52,Siderforgerossi Group SPA,0670
52,Siderval S.p.A,4231
52,Siemens,C316-317
52,Sigma,1320
52,Sigma Manufacturing Solutions,1310
52,Sigmatex UK Ltd,1310
52,SIJ Metal Ravne,3926
52,SILENTIUM DEFENCE,3311
52,"Simtech, Inc.",2530
52,"SINFONIA TECHNOLOGY Co., LTD.","2006, 2117, 2504"
52,SIPAL Spa,1245
52,SISTECH,4931
52,SJ Group,1320
52,SKF,1360
52,Sky Eye Systems Srl,"1145,1147"
52,Skybolt Aerospace Fasteners,3526I
52,Skyguide Swiss Air Navigation Services Ltd.,4517
52,SKYINNOVATIONS AEROSPACE & DEFENCE PTY LTD,3311
53,Skywin Wallonie,"1058, 1157"
53,Smith Myers Communications Ltd,1018
53,Smiths Advanced Metals,1120K
53,SNC,4605
53,Società Industria Meccanica S.I.ME. Srl,1245
53,Socomore,1057
53,sofitec aero,2121
53,Sol.One,"1058, 1157"
53,Solar Atmospheres,2525
53,Somerset Council,"1120, C413"
53,Sonaca,"1058, 1157"
53,South Carolina Department of Commerce,2324
53,Southampton University Human Powered Aircraft - Pioneers of Tomorrow (Friday),
53,Southbourne Rubber Co Ltd (SBR),4736
53,Southern Launch,3311
53,Sovereign Propulsion Systems (SPS),3311
53,Space Applications Services,"1058, 1157"
53,Space Florida,3501B
53,Space Forge,4004
53,SPACE MACHINES COMPANY PTY LTD,3311
54,Spartan Aerospace Group,41060
54,Special Quality Alloys,1521
54,Specialised Polymer Engineering Ltd,4817
54,Spirit Defense A Boeing Company,"C326-327, 4605"
54,Spokane International Airport,0045
54,Squarcle Consulting Ltd,0650
54,SR Technics,4517
54,SSE - SOFITER SYSTEM ENGINEERING S.P.A. SIGLABILE SSE S.P.A.,1250
54,ST Airborne Systems,1558
54,ST Engineering MRAS,3120
54,StandardAero,4330
54,Standex Aerospace and Defense,1320
54,Starrag UK Ltd,4517
54,State of Connecticut,2127
54,State of Iowa,2428
54,State of New Hampshire,2039
54,Stein Seal,1050
54,Stelia North America,"C223, 4225, 4525, 4623A, 4722"
54,Stirling Dynamics,"1120, C413,ROOM 8 - 6 PAX - WED - 09:00 TO 17:45"
54,"STOPART BRAKE MATERIAL CO.,LTD.",4828
55,Strategy and Events MICE,3320
55,Stratolaunch,0480
55,Stretch Forming Corporation,2338
55,Stronvar Aerospace,3541
55,Struers Ltd,1200
55,STS Metals,"41320, 41321"
55,SUBARU CORPORATION,"2006, 2117, 2504"
55,Sullivan Steel,2509
55,"Sungjin Techwin Co., Ltd.",41031
55,Sunshine Metals,"1231, C119-120"
55,Superalloy Manufacturing Solutions Corp (SMSC),41350
55,SUPERELECTRIC s.r.l.,1435
55,Supply Chain Solutions Framework,1120L
55,Surface Technology International Ltd,1317
55,Surrey Satellite Technology Ltd,4705
55,Sviluppumbria Spa,"1145,1147"
55,"SVM Tech Co.,Ltd.",4931
55,SVT: Supply Chain Solutions,2039
55,SWISS PAVILION,4517
55,Syensqo,C220
56,"Synergetic Technologies Group, Inc.",2338
56,Tactical Air Support Inc.,3526H
56,"Taekyung Electronics Co., Ltd.",41031
56,"TAESANG Co., Ltd",4840
56,TAG,1355
56,Tallahassee International Airport,3501A
56,Tata Advanced Systems Limited,C410
56,Tata Consultancy Services,C410
56,"Tata Technologies Europe Ltd,",0140
56,TAV VACUUM FURNACES SPA,1038
56,"Taylor Devices, Inc.",41512
56,TC AEROSPACE,4138
56,Team Scotland,4505
56,TECHNOSPRINGS ITALIA SRL,1437
56,TECHSiL Ltd,4900
56,Tecno E.D.M. S.r.l,1245
56,Teconnex Ltd,1320
56,Teesside International Airport Business Park,3920
56,"TEI-TUSAS Engine Industries, Inc.",4338
56,TEK4 Limited,3940
57,TEKEVER,1160
57,Teledyne,2330
57,Telsy S.p.A,1505
57,Terma A/S,2320
57,Test Industry S.r.l.,"1145,1147"
57,TEST-FUCHS GmbH,"3722,3726, 3728"
57,"TESTCOR Co.,Ltd.",41035
57,Testia,0070
57,Texas Economic Development & Tourism Office,3545
57,Texmo Blank Ltd,3006
57,Textron Inc.,A031
57,TFI Aerospace,1355
57,TFS AERO,3320
57,The Air League,PINN-05
57,THE BOEING COMPANY,"C201-206, C620"
57,The Honourable Company of Air Pilots,
57,The HR Dept,1317
57,The Lee Company,41120
57,The Society of Japanese Aerospace Companies (SJAC),"2006, 2117, 2504"
57,THOMAS GLOBAL SYSTEMS AUSTRALIA PTY LTD,3311
58,Ti Squared Technologies. Inc.,3028
58,TI-TEK [UK] Limited,1317
58,Tidal Flight,2125
58,"TIGHITCO, Inc.",2324
58,TIJUANA EDC,3320
58,Timken Aurora Bearing Company,41502
58,Tinicum Incorporated,"41320, 41321"
58,Tioga Limited,1317
58,"Tipro International Co., Ltd",1008
58,TISICS Ltd,1317
58,Titanium Fabrication Corp (Ti-Fab),41350
58,Titanium Industries,3027
58,TITANIUM INTERNATIONAL GROUP SRL,1542
58,tk accelis Supply Chain Solutions,C110-111
58,TLG Aerospace,1351
58,Toray Industries,C329
58,Toyota,
58,TPS Solutions GmbH,4517
58,TRANSAERO,3425
58,Transense Technologies plc,4801
59,Trelleborg Aerospace,"1115, C117"
59,Trescal,41311
59,Trexon,4021
59,Tri Models Inc,2338
59,Tridan Engineering Ltd,1551
59,Triman Industries,4131
59,Tritech Group,4617
59,Triumph Group,0095
59,True Blue Power,2522
59,Tsubaki Nakashima,4022
59,TT Electronics,4118
59,TT Electronics PLC,1310
59,"TTM Technologies, Inc.",C409
59,TTTECH Computertechnik AG,"3722,3726, 3728"
59,TUALCOM,1528
59,TUBIFLEX SPA,1245
59,Turbomak,4841
59,Turbulence Solutions GmbH,"3722,3726, 3728"
59,TÜV SÜD,4040
59,TW Metals Ltd,3528
60,Twente Airport,1353
60,TWI Limited,1046
60,Type One Ventures,4300
60,UACH - Universidad Autónoma de Chihuahua,3320
60,UAVE Ltd,1221
60,Ubloquity,1321
60,UK Civil Aviation Authority,41518
60,UK Export Finance,3704
60,"UK Hub for Quantum Enabled Position, Navigation & Timing",PI-13
60,UK Precision Ltd,"1120, C413"
60,UK Research and Innovation,"1110, 4710"
60,UK Space Agency,4510
60,"Ulbrich Stainless Steels & Special Metals, Inc.",2516
60,Ultima Forma,1317
60,Ultra PCS / Eaton,C128
60,Ultrax Aerospace Inc.,3133
60,UMBRAGROUP SpA,"1145,1147"
60,Umbria Aerospace Cluster,"1145,1147"
60,Umbria Aerospace Systems S.p.A.,"1145,1147"
60,"Unison, a GE Aerospace company","4920,B026"
61,United Machining Mill AG - LIECHTI,4517
61,United Performance Metals,3742
61,United Performance Metals Ltd,1321
61,United Ukranian Stand,0100
61,Universal Stainless and Alloy Products,C604
61,"University of California, San Diego",2338
61,University of New Hampshire Space Tech Hub,2039
61,University of Nottingham,1026
61,"UOCEAN x Aerosparx ""Heights of Possibility""",PP-09
61,UPS Lakshmi Private Limited,1054
61,US Aluminum Castings,1351
61,US Aviation Training Solutions (USATS),3526G
61,UVEX SAFETY (UK) LTD,0575
61,Vac Aero International,"C223, 4225, 4525, 4623A, 4722"
61,VACUUMSCHMELZE GmbH & Co. KG,4018
61,Valbruna UK Ltd,1320
61,Valcor Engineering Corporation,2539
61,Valence Surface Technologies,41145
61,Valuechain,1520
61,Van-Am Tool & Engineering,3133
62,Vanzetti Engineering,1245
62,Varzene Metal,4024
62,VDL ETG Switzerland AG,4517
62,VectaCore GmbH,"3722,3726, 3728"
62,Venus Aerospace,3545
62,Vericut,1317
62,Vermont Aerospace Inc.,41350
62,Vertical Aerospace,"41000, C314-314A"
62,Vertical Aviation International,4800
62,Verus Aerospace,3345
62,VESTA,3320
62,VGA SRL,"1145,1147"
62,Viasat,4310
62,Vibrac LLC,2332
62,VIMI FASTENERS S.P.A.,1250
62,VINCENTI OFFICINE srl,1245
62,Virginia Economic Development Partnership,2125
62,VISIONARY MACHINES PTY LTD,3311
62,Vista Global - Pioneers of Tomorrow (Friday),
62,voestalpine High Performance Metals Aerospace & Power Industry,2305
63,Volatus Aerospace Inc.,"C223, 4225, 4525, 4623A, 4722"
63,Volz Servos / AEE / Hirth Engines,0520
63,"VPT, Inc.",2125
63,Wales,1221
63,Wales,3704
63,Walker AEC Ltd,1320
63,Wall Colmonoy Corporation,2322
63,Wallwork Heat Treatment Ltd,1000
63,Walter Praguecast a.s,41312
63,Walzwerke Einsal GmbH,1055
63,Washington Aerospace Training & Research Center - WATR,1351
63,Washington State,1351
63,Watlow,"41320, 41321"
63,Wave Mechanics Private Limited,0075
63,Weiss Technik UK,1320
63,Weldmac,1355
63,Wenzel UK,1310
63,West Virginia Economic Development,2431
63,"Western Superconducting Technologies Co.,Ltd",41413
63,"WESTERN TITANIUM TECHNOLOGIES CO., LTD.",41546
64,WFL Millturn Technologies GmbH & Co. KG,"3722,3726, 3728"
64,WHI Global,2127
64,Wichita State University,4605
64,Wieland Busby Metals,3020
64,William Cook Cast Products Ltd,0055
64,Windracers,4350
64,WITTENSTEIN motion control GmbH,4135
64,Wolften,"1231, C119-120"
64,"Woorim PTS Co., Ltd",4935
64,World Fuel Services (Australia) PTY LTD,3311
64,World Trade Center Utah,2517
64,WSU Tech - National Center for Aviation Training,4605
64,"Wuxi Paike New Materials Technology Co., Ltd.","0130, 41140, 41340. 41546"
64,X-Bow Systems,3545
64,"XI'AN XRUN NEW MATERIAL CO.,LTD",4945
64,XPONENTIAL Europe,4150
64,Yarde Metals,C209-210
64,"YEONHAB PRECISION CO., LTD",4833
64,Yulkok Ltd.,4935
64,ZB3 Technologies Ltd - HALOSENSOR,1560
65,ZEISS Microoptics,C404
65,"Zenith Aviation, Inc.",2125
65,Zenix Aerospace,4303
65,Zero Emissions Aerospace,0760
65,ZeroAvia,1113
65,"Zhejiang Jiuli Hi-Tech Metals Co., Ltd.",3924
65,"Zhejiang King-Mazon Intelligent Manufacturing Corp., Ltd.",3925
65,"Zhejiang Shenji Titanium Industry Co., Ltd.",4050
65,Zhejiang Tianhe Aerospace Development Foundation,4600
65,ZIROM SA,0150
65,Zoerkler Gears GmbH & Co KG,"3722,3726, 3728"
65,Zoppas Industries Heating Element Technologies,1545
